Name	Rarity	Ability	Power	Defense	Image
Ice Cream Van Worker	Common	Cool down the game, reducing the power of all cards in play by 1 for one turn. Gain 3 defense if your cards have higher power.	6	4	218.webp
UAE	Rare	Tap into oil wealth, gaining 20 points instantly. Gain 5 defense if your points exceed your opponent's after the gain.	6	7	219.webp
Indian Prince	Rare	Command respect. Opponent must skip their next turn. Gain 5 defense if their skipped card has a power higher than 8.	6	7	220.webp
Eskimo	Common	Freeze one of your opponent’s cards, rendering it useless for one turn. Gain 3 defense if their card's power is higher than 8.	6	4	221.webp
Fisherman	Common	Catch a big one. Gain an extra draw on your next turn. Gain 3 defense if the drawn card is Rare or higher.	8	5	222.webp
Frog Society	Legendary	Summon a council of frogs, gaining control of the game's environment for one full turn. Gain 10 defense if no cards are affected by the environment change.	6	8	223.webp
Meme	Rare	Spread like wildfire, copying the power of an opponent's card. Gain 5 defense if the copied card has higher power.	6	6	224.webp
Rafting Guide	Rare	Navigate through rough waters. Avoid damage for one round. Gain 5 defense if no cards are damaged.	6	7	225.webp
Graduate at Harvard	Rare	Gain knowledge. Draw two additional cards from the deck. Gain 5 defense if both cards are Rare or higher.	8	6	226.webp
Tennis Player	Rare	Serve an ace. Skip your opponent’s turn. Gain 5 defense if the opponent’s next card has more than 5 power.	6	7	227.webp
Professor in Oxford	Rare	Lecture an opponent, reducing their effectiveness by 2 for one round. Gain 5 defense if their effectiveness drops below 3.	6	6	228.webp
Albert Einstein	Legendary	Unlock the secrets of the universe. Draw three additional cards and double the power of one card in play. Gain 10 defense if the card’s power exceeds 20.	8	7	229.webp
Lenin	Epic	Lead a revolution. Force your opponent to discard their highest power card. Gain 5 defense if the discarded card had more than 8 power.	9	8	230.webp
Dante Alighieri	Epic	Journey through the Divine Comedy. Choose a card from the discard pile and return it to your hand. Gain 5 defense if the card is Epic or higher.	9	7	231.webp
Napoleon Bonaparte	Legendary	Conquer your enemies. Double the attack power of one card for one turn. Gain 10 defense if the attack succeeds.	10	9	232.webp
Enrico Fermi	Rare	Split the atom. Deal 3 damage to an opponent's card and draw an additional card. Gain 5 defense if the drawn card is Rare or higher.	8	6	233.webp
Micelio	Rare	Network underground. Gain control of one of your opponent's cards for one turn. Gain 5 defense if the controlled card has more than 5 defense.	6	7	234.webp
Hostess on a Plane	Common	Serve refreshments. Heal one of your cards by 2 points. Gain 3 defense if the healed card's defense is higher than 6.	6	4	235.webp
Red Carpet	Rare	Walk the red carpet. Gain 10 points for every high-profile card in play. Gain 5 defense if there are more than two high-profile cards.	6	6	236.webp
Fish Factory Japan	Common	Process fish efficiently. Gain 5 points per turn for the next three turns. Gain 3 defense if the total points exceed 15.	6	4	237.webp
Australian Bloke	Common	Survive the outback. Avoid damage for one turn. Gain 3 defense if your card's defense is higher than 5.	6	4	238.webp
The Playboy	Rare	Charm your opponents. Choose one card from their hand to be discarded. Gain 5 defense if the discarded card has more than 8 power.	9	7	239.webp
Pipeline Welder	Uncommon	Seal the deal. Prevent any damage to your cards for one turn. Gain 5 defense if the prevention is successful.	4	6	240.webp
Emergency Doctor	Rare	Save a life. Fully heal one of your cards. Gain 5 defense if the healed card has more than 6 defense.	6	7	241.webp
Surgeon	Rare	Perform surgery. Increase the power of one card by 2 permanently. Gain 5 defense if the card's power exceeds 10 after surgery.	6	6	242.webp
Newborn Nurse	Common	Care for the young. Heal one of your cards by 2 points. Gain 3 defense if the healed card has more than 5 defense after healing.	6	4	243.webp
Heavy Machinery Operator	Common	Clear the path. Destroy one obstacle in play, clearing the way for your next move. Gain 3 defense if no obstacles remain.	6	5	244.webp
New York Street Performer	Common	Entertain the crowd. Gain 5 points for every turn this card remains in play. Gain 3 defense if it stays for more than two turns.	6	4	245.webp
Firefighter	Rare	Extinguish the flames. Remove any negative effects from one of your cards. Gain 5 defense if the negative effect is removed successfully.	6	6	246.webp
Train Conductor	Common	Keep the train on track. Prevent your opponent from altering the order of their cards for one turn. Gain 3 defense if their strategy fails.	6	4	247.webp
Veterinarian	Common	Heal the animals. Restore one animal-themed card to full power. Gain 3 defense if the card's defense is more than 6 after healing.	6	5	248.webp
Bus Driver	Common	Stay on schedule. Ensure your next card is played immediately after drawing. Gain 3 defense if your next card wins the round.	8	4	249.webp
European Farmer	Common	Harvest the fields. Gain 5 points for every turn this card is in play. Gain 3 defense if you gain more than 15 points.	6	4	250.webp
RDJ	Legendary	Charisma boost. All cards in your hand gain +1 power for the next three turns. Gain 10 defense if your total power exceeds your opponent's.	6	8	251.webp
Healthcare Provider	Common	Provide care. Heal one of your cards by 2 points. Gain 3 defense if the card's defense is more than 6 after healing.	6	4	252.webp
Software Developer	Uncommon	Write code. Gain 5 points and double the effect of one technology-themed card. Gain 5 defense if the effect leads to a win.	7	6	253.webp
Disaster Recovery	Rare	Restore the balance. Return one card from the discard pile to your hand. Gain 5 defense if the card is Rare or higher.	9	7	254.webp
Engineering	Rare	Build a strong foundation. Increase the defense of all your cards by 2 for the next two turns. Gain 5 defense if the increase prevents damage.	6	7	255.webp
Guitarist	Common	Strum the strings. Gain 5 points for every turn this card remains in play. Gain 3 defense if you gain more than 15 points.	6	4	256.webp
Vegan Chef	Common	Prepare a healthy meal. Heal one of your cards by 2 points. Gain 3 defense if the healed card is stronger than the opponent's next card.	6	4	257.webp
Devil Fruit	Legendary	Consume the fruit. Double the power of one card, but it can no longer be used after three turns. Gain 10 defense if the card wins two rounds.	10	7	258.webp
Mc Worker	Common	Flip burgers. Gain 5 points for every turn this card remains in play. Gain 3 defense if it remains for more than two turns.	6	4	259.webp
Furniture Builder	Common	Craft a sturdy piece. Increase the defense of one card by 2 points. Gain 3 defense if the card's defense exceeds 8.	6	5	260.webp
The Penguin	Rare	Slide into action. Choose an opponent's card to freeze for one turn. Gain 5 defense if the frozen card is Rare or higher.	6	6	261.webp
Batman	Legendary	Strike from the shadows. Deal 3 damage to an opponent's card and gain an extra turn. Gain 10 defense if the extra turn results in a win.	6	8	262.webp
Karen Getting Arrested	Uncommon	Cause a scene. Force your opponent to discard one card. Gain 5 defense if the discarded card has higher power than 8.	6	7	263.webp
Water Carrier	Common	Quench the thirst. Heal one of your cards by 2 points. Gain 3 defense if the healed card's defense is more than 6.	6	4	264.webp
Safari	Rare	Track your prey. Reveal one of your opponent's hidden cards and reduce its power by 2. Gain 5 defense if the revealed card is Epic or higher.	9	7	265.webp
